epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.14622,1.88556,2.89325,1.98467,0.004,1,0.42946,0.22598,1.42925,3.16635,1.92838,0.0002,0.0002,0.0002
2,3.27525,1.52457,2.03508,1.68453,0.004,1,0.76111,0.41686,1.4303,2.97587,1.73963,0.000415842,0.000415842,0.000415842
3,4.41092,1.40806,1.71306,1.62073,0.9016,0.38233,0.81913,0.42313,1.50872,2.76045,2.06647,0.000627328,0.000627328,0.000627328
4,5.53095,1.38105,1.56431,1.55972,0.64166,0.59729,0.62206,0.35066,1.16836,2.65466,1.60449,0.000834458,0.000834458,0.000834458
5,6.68999,1.38597,1.52336,1.51545,0.70024,0.54167,0.6518,0.29827,1.5364,2.43171,2.11392,0.00103723,0.00103723,0.00103723
6,7.79266,1.345,1.55172,1.52377,0.50845,0.73297,0.56515,0.27849,1.6486,2.41801,2.08419,0.00123565,0.00123565,0.00123565
7,8.89107,1.3616,1.42695,1.51805,0.87744,0.5,0.64611,0.24465,1.87668,2.52259,2.83474,0.00142971,0.00142971,0.00142971
8,10.002,1.4961,1.5858,1.66087,0.54131,0.29527,0.34394,0.13703,2.26896,2.74852,3.06774,0.00161942,0.00161942,0.00161942
9,11.0992,1.4405,1.42857,1.55623,0.57653,0.54167,0.54923,0.2457,2.12225,2.7991,2.4016,0.00180477,0.00180477,0.00180477
10,12.2002,1.38675,1.33547,1.50605,0.71055,0.70833,0.66249,0.39501,1.65931,2.626,1.96906,0.0018218,0.0018218,0.0018218
11,13.3056,1.37563,1.29666,1.50199,0.6485,0.61531,0.62836,0.33301,1.6165,3.25883,2.21351,0.001802,0.001802,0.001802
12,14.4152,1.41293,1.32985,1.54107,0.81885,0.33333,0.50772,0.32655,1.51026,2.7709,2.05223,0.0017822,0.0017822,0.0017822
13,15.5117,1.35747,1.24616,1.51184,0.59585,0.70833,0.62813,0.26198,1.8785,2.44343,2.30379,0.0017624,0.0017624,0.0017624
14,16.6656,1.28813,1.20445,1.47991,0.69497,0.58333,0.58503,0.35658,1.54281,2.45752,1.95648,0.0017426,0.0017426,0.0017426
15,17.7675,1.25047,1.12178,1.43637,0.74678,0.66667,0.68365,0.3932,1.60496,2.0356,2.05032,0.0017228,0.0017228,0.0017228
16,18.8623,1.35058,1.12903,1.49607,0.51053,0.66667,0.48302,0.24737,1.60699,3.05194,1.99879,0.001703,0.001703,0.001703
17,19.9615,1.31212,1.1157,1.45801,0.59661,0.70833,0.52401,0.25722,1.86445,2.15074,2.29926,0.0016832,0.0016832,0.0016832
18,21.0595,1.26734,1.10305,1.43186,0.85549,0.83333,0.8179,0.49282,1.57665,1.25865,1.95425,0.0016634,0.0016634,0.0016634
19,22.1689,1.24599,1.03474,1.41488,0.79353,0.75,0.81785,0.51304,1.455,1.3909,1.91025,0.0016436,0.0016436,0.0016436
20,23.2735,1.24563,1.03308,1.43538,0.7974,0.82033,0.76691,0.49793,1.37921,1.37557,1.73777,0.0016238,0.0016238,0.0016238
21,24.3671,1.20897,0.97897,1.37308,0.866,0.80826,0.8327,0.50535,1.39221,1.14619,1.74375,0.001604,0.001604,0.001604
22,25.4704,1.22047,0.96414,1.41126,0.81053,0.91667,0.90154,0.47518,1.63206,1.18649,1.99325,0.0015842,0.0015842,0.0015842
23,26.579,1.15585,0.9355,1.36637,0.7007,0.78067,0.71009,0.37967,1.56951,1.19353,1.93424,0.0015644,0.0015644,0.0015644
24,27.678,1.16419,0.94374,1.4061,0.49346,0.69034,0.51881,0.27998,1.66364,1.63564,1.92236,0.0015446,0.0015446,0.0015446
25,28.8416,1.18975,0.91984,1.40146,0.78435,0.70833,0.67105,0.3696,1.59346,1.33265,1.93809,0.0015248,0.0015248,0.0015248
26,29.9369,1.21421,0.86911,1.3511,0.86752,0.81893,0.81322,0.46781,1.47117,1.17224,1.90871,0.001505,0.001505,0.001505
27,31.0462,1.17475,0.8809,1.36466,0.84849,0.79167,0.79399,0.50371,1.42323,0.97458,1.8751,0.0014852,0.0014852,0.0014852
28,32.1506,1.04438,0.79588,1.28001,0.83186,0.82485,0.76393,0.46571,1.4711,0.97885,1.87135,0.0014654,0.0014654,0.0014654
29,33.2635,1.11477,0.89603,1.32352,0.72517,0.79167,0.7306,0.42461,1.60384,1.19488,1.99601,0.0014456,0.0014456,0.0014456
30,34.3646,1.0354,0.76373,1.27175,0.80452,0.75,0.73072,0.4256,1.50047,1.07735,1.99356,0.0014258,0.0014258,0.0014258
31,35.4736,1.10498,0.72943,1.32818,0.78381,0.90665,0.80575,0.44794,1.46099,0.96448,1.92988,0.001406,0.001406,0.001406
32,36.5792,1.12223,0.85695,1.35857,0.74259,0.875,0.74112,0.46981,1.53102,0.96224,1.92632,0.0013862,0.0013862,0.0013862
33,37.6862,1.11006,0.80934,1.32415,0.77034,0.875,0.73751,0.45856,1.5006,0.97158,1.88902,0.0013664,0.0013664,0.0013664
34,38.8611,1.056,0.76564,1.28368,0.83861,0.79167,0.7627,0.44707,1.62464,1.03296,1.99816,0.0013466,0.0013466,0.0013466
35,39.9737,1.05982,0.76817,1.26688,0.79256,0.83333,0.81763,0.52116,1.38019,0.98546,1.80536,0.0013268,0.0013268,0.0013268
36,41.0948,1.14698,0.77623,1.3541,0.84814,0.79167,0.76187,0.47197,1.36657,0.9134,1.83713,0.001307,0.001307,0.001307
