epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,42.207,1.01271,0.73368,1.28266,0.79904,0.82853,0.72935,0.43147,1.52983,1.13497,1.95232,0.0012872,0.0012872,0.0012872
38,43.3153,1.06168,0.76368,1.33222,0.72921,0.83333,0.71617,0.4727,1.35574,1.08492,1.77571,0.0012674,0.0012674,0.0012674
39,44.4253,1.11674,0.8078,1.33492,0.76518,0.83333,0.83211,0.54625,1.35426,0.93645,1.75618,0.0012476,0.0012476,0.0012476
40,45.5491,1.05661,0.74525,1.26273,0.76725,0.58333,0.75185,0.41376,1.79342,1.23409,2.13004,0.0012278,0.0012278,0.0012278
41,46.6555,1.1272,0.80433,1.3384,0.86261,0.79167,0.78835,0.45398,1.50725,1.05839,1.85581,0.001208,0.001208,0.001208
42,47.8213,1.12628,0.78765,1.32222,0.85985,0.79167,0.84974,0.47981,1.42502,0.93081,1.8436,0.0011882,0.0011882,0.0011882
43,48.9367,0.98627,0.6981,1.25605,0.79613,0.83333,0.91988,0.57085,1.39639,0.77442,1.87777,0.0011684,0.0011684,0.0011684
44,50.0574,1.0228,0.72672,1.26552,0.9682,0.75,0.89665,0.56028,1.46334,0.76984,1.91196,0.0011486,0.0011486,0.0011486
45,51.169,1.00193,0.76688,1.28525,0.85635,0.79167,0.87162,0.54991,1.53956,0.86707,1.97103,0.0011288,0.0011288,0.0011288
46,52.2944,1.07965,0.73561,1.29463,0.84857,0.75,0.82206,0.54473,1.45264,0.95677,1.81738,0.001109,0.001109,0.001109
47,53.4057,1.03259,0.7386,1.25263,0.86943,0.83242,0.85203,0.4445,1.89197,1.04563,2.28435,0.0010892,0.0010892,0.0010892
48,54.5218,1.03426,0.70577,1.30917,0.79192,0.83333,0.78346,0.51142,1.35478,0.78479,1.75109,0.0010694,0.0010694,0.0010694
49,55.6335,1.10799,0.70141,1.29587,0.84824,0.83333,0.78685,0.48744,1.45205,0.79439,1.88895,0.0010496,0.0010496,0.0010496
50,56.7518,0.9822,0.68229,1.25488,0.84858,0.79167,0.80777,0.49639,1.46337,0.80391,1.91765,0.0010298,0.0010298,0.0010298
51,57.8749,0.98331,0.66858,1.23216,0.80684,0.8704,0.92556,0.57474,1.33909,0.77204,1.68957,0.00101,0.00101,0.00101
52,59.0642,0.90238,0.62114,1.1987,0.87402,0.875,0.89829,0.53808,1.39026,0.91199,1.83837,0.0009902,0.0009902,0.0009902
53,60.1696,1.01776,0.68832,1.24304,0.83466,0.875,0.90655,0.54284,1.32784,0.84155,1.81137,0.0009704,0.0009704,0.0009704
54,61.2853,0.99438,0.69258,1.24002,0.87187,0.875,0.89184,0.46988,1.57798,0.88937,2.08975,0.0009506,0.0009506,0.0009506
55,62.4149,0.9933,0.67401,1.25081,0.87204,0.875,0.87802,0.54588,1.28583,0.78712,1.78214,0.0009308,0.0009308,0.0009308
56,63.5466,0.89586,0.61334,1.18965,0.87224,0.875,0.82383,0.52983,1.31889,0.83075,1.86044,0.000911,0.000911,0.000911
57,64.6631,0.97174,0.6861,1.23272,0.87389,0.875,0.84214,0.52967,1.35293,0.86424,1.91696,0.0008912,0.0008912,0.0008912
58,65.7831,0.9669,0.65868,1.23322,0.8452,0.9102,0.84275,0.50587,1.36668,0.83078,1.87044,0.0008714,0.0008714,0.0008714
59,66.9006,0.89638,0.63077,1.17553,0.81858,0.95833,0.85596,0.52741,1.30962,0.7504,1.86483,0.0008516,0.0008516,0.0008516
60,68.0331,0.93275,0.68055,1.26626,0.80923,0.91667,0.89907,0.56895,1.33799,0.75675,1.87323,0.0008318,0.0008318,0.0008318
61,69.2056,0.89242,0.63447,1.1713,0.84906,0.93795,0.90724,0.5427,1.41571,0.83225,1.93649,0.000812,0.000812,0.000812
62,70.3268,0.88247,0.58646,1.22769,0.87493,0.87447,0.85992,0.54411,1.33776,0.8246,1.72231,0.0007922,0.0007922,0.0007922
63,71.4577,0.86084,0.5868,1.18325,0.87412,0.86828,0.83442,0.55834,1.3023,0.91089,1.72776,0.0007724,0.0007724,0.0007724
64,72.5817,0.91159,0.61691,1.21662,0.87056,0.875,0.84089,0.55322,1.30521,0.87192,1.83514,0.0007526,0.0007526,0.0007526
65,73.7128,0.87114,0.57609,1.18648,0.87154,0.875,0.80045,0.53646,1.27283,0.89127,1.808,0.0007328,0.0007328,0.0007328
66,74.8363,0.88517,0.58089,1.18958,0.83693,0.875,0.80027,0.51781,1.31708,0.89928,1.85135,0.000713,0.000713,0.000713
67,75.9705,0.79901,0.5615,1.13958,0.83558,0.875,0.87818,0.56962,1.31207,0.84622,1.80535,0.0006932,0.0006932,0.0006932
68,77.094,0.79362,0.5209,1.14237,0.85889,0.875,0.89023,0.57998,1.24325,0.74515,1.73676,0.0006734,0.0006734,0.0006734
69,78.2976,0.78058,0.51268,1.15938,0.78803,1,0.88633,0.54995,1.2623,0.70073,1.78647,0.0006536,0.0006536,0.0006536
70,79.4235,0.8138,0.58004,1.12381,0.87416,0.91667,0.91567,0.56013,1.3836,0.71937,1.91315,0.0006338,0.0006338,0.0006338
71,80.5568,0.86015,0.56868,1.17184,0.84238,0.91667,0.91855,0.55948,1.36255,0.70128,1.87508,0.000614,0.000614,0.000614
72,81.6828,0.84362,0.55054,1.15652,0.82149,0.875,0.85172,0.49494,1.42409,0.79925,1.93898,0.0005942,0.0005942,0.0005942
73,82.8027,0.80877,0.56625,1.18494,0.79905,0.875,0.83697,0.49903,1.42333,0.82062,1.95278,0.0005744,0.0005744,0.0005744
74,83.9273,0.843,0.53744,1.151,0.83166,0.875,0.90112,0.56552,1.36434,0.76184,1.9044,0.0005546,0.0005546,0.0005546
75,85.0473,0.78567,0.5434,1.1106,0.86681,0.83333,0.93681,0.56333,1.39685,0.76521,1.94023,0.0005348,0.0005348,0.0005348
76,86.1738,0.80374,0.52934,1.13702,0.86005,0.79167,0.92601,0.56668,1.37966,0.79997,1.96681,0.000515,0.000515,0.000515
77,87.2923,0.76511,0.53895,1.11829,0.86052,0.79167,0.84632,0.52026,1.33397,0.80686,1.9183,0.0004952,0.0004952,0.0004952
78,88.4095,0.85312,0.54736,1.16684,0.85459,0.79167,0.79071,0.47344,1.37217,0.84766,1.93095,0.0004754,0.0004754,0.0004754
79,89.5819,0.79228,0.55613,1.11076,0.85236,0.79167,0.79063,0.49254,1.3723,0.91875,1.92836,0.0004556,0.0004556,0.0004556
80,90.702,0.77399,0.52729,1.12127,0.85968,0.79167,0.82227,0.5213,1.40076,0.95732,1.96667,0.0004358,0.0004358,0.0004358
81,91.8148,0.8593,0.70627,1.15343,0.83806,0.86289,0.85904,0.55281,1.39566,0.87042,1.98309,0.000416,0.000416,0.000416
82,92.9346,0.75912,0.50217,1.09155,0.86945,0.83254,0.88323,0.52925,1.45314,0.81892,2.02357,0.0003962,0.0003962,0.0003962
83,94.0592,0.76672,0.50331,1.10688,0.86889,0.83333,0.8895,0.53634,1.457,0.87842,2.04749,0.0003764,0.0003764,0.0003764
84,95.1778,0.76164,0.53501,1.10911,0.87449,0.87109,0.92015,0.55758,1.36949,0.83701,1.95569,0.0003566,0.0003566,0.0003566
85,96.2911,0.73381,0.50463,1.11513,0.87325,0.86156,0.93259,0.57526,1.35113,0.75621,1.93067,0.0003368,0.0003368,0.0003368
86,97.4173,0.71444,0.51354,1.09864,0.85476,0.875,0.94796,0.61172,1.32149,0.73078,1.89981,0.000317,0.000317,0.000317
87,98.5472,0.72811,0.47245,1.11477,0.86882,0.875,0.94781,0.61413,1.33191,0.70729,1.93731,0.0002972,0.0002972,0.0002972
88,99.7485,0.76585,0.53277,1.12517,0.87015,0.875,0.94781,0.6149,1.34781,0.72198,1.97268,0.0002774,0.0002774,0.0002774
89,100.88,0.68149,0.47073,1.06229,0.87041,0.875,0.94231,0.6096,1.32831,0.70219,1.94581,0.0002576,0.0002576,0.0002576
90,102.008,0.71635,0.53426,1.12053,0.87438,0.87027,0.87688,0.57157,1.30968,0.7036,1.9237,0.0002378,0.0002378,0.0002378
91,103.516,0.58419,0.41879,1.03425,0.83533,0.875,0.86222,0.55646,1.32384,0.73364,1.94091,0.000218,0.000218,0.000218
92,104.642,0.57842,0.41466,1.01296,0.83633,0.875,0.86924,0.54451,1.31105,0.74401,1.91855,0.0001982,0.0001982,0.0001982
93,105.764,0.58559,0.3807,1.01664,0.87375,0.86542,0.8806,0.5547,1.3156,0.74866,1.93508,0.0001784,0.0001784,0.0001784
94,106.886,0.54617,0.36746,1.00222,0.87282,0.875,0.89755,0.57478,1.35206,0.72942,1.97972,0.0001586,0.0001586,0.0001586
95,108.003,0.55374,0.37109,1.00076,0.87387,0.86636,0.89967,0.57557,1.35223,0.74044,1.97239,0.0001388,0.0001388,0.0001388
96,109.129,0.58175,0.42091,1.06367,0.86908,0.82991,0.90101,0.57936,1.33369,0.7383,1.96292,0.000119,0.000119,0.000119
97,110.243,0.58806,0.36218,1.03761,0.83459,0.875,0.91614,0.60108,1.33008,0.72614,1.96684,9.92e-05,9.92e-05,9.92e-05
98,111.441,0.54121,0.33834,1.00655,0.83113,0.875,0.92387,0.58225,1.34868,0.72717,1.98426,7.94e-05,7.94e-05,7.94e-05
99,112.572,0.50352,0.34964,0.99293,0.84536,0.91667,0.92887,0.597,1.3695,0.74781,2.00174,5.96e-05,5.96e-05,5.96e-05
100,113.692,0.5255,0.34412,0.9845,0.84204,0.91667,0.92572,0.58518,1.38362,0.7501,2.00888,3.98e-05,3.98e-05,3.98e-05
